"","bioguide_id","chamber","state_name","state_abbrev","party","district_code","name","nominate_dim1","nominate_dim2"
"1","R000575","House","Alabama","AL","Republican",3,"Rogers, Mike Dennis",0.359,0.461
"2","S001185","House","Alabama","AL","Democrat",7,"Sewell, Terri",-0.393,0.401
"3","B001274","House","Alabama","AL","Republican",5,"Brooks, Mo",0.646,-0.408
"4","P000609","House","Alabama","AL","Republican",6,"Palmer, Gary James",0.695,0.025
"5","C001054","House","Alabama","AL","Republican",1,"Carl, Jerry L.",0.57,0.496
"6","M001212","House","Alabama","AL","Republican",2,"Moore, Barry",0.664,-0.004
"7","A000055","House","Alabama","AL","Republican",4,"Aderholt, Robert",0.376,0.581
"8","Y000033","House","Alaska","AK","Republican",1,"Young, Donald Edwin",0.283,0.021
"9","G000551","House","Arizona","AZ","Democrat",3,"Grijalva, Raúl M.",-0.598,-0.256
"10","K000368","House","Arizona","AZ","Democrat",2,"Kirkpatrick, Ann",-0.167,-0.006
"11","G000565","House","Arizona","AZ","Republican",4,"Gosar, Paul",0.691,-0.452
"12","S001183","House","Arizona","AZ","Republican",6,"Schweikert, David",0.578,-0.298
"13","G000574","House","Arizona","AZ","Democrat",7,"Gallego, Ruben",-0.449,0.003
"14","B001302","House","Arizona","AZ","Republican",5,"Biggs, Andrew S.",0.859,-0.513
"15","O000171","House","Arizona","AZ","Democrat",1,"O'halleran, Thomas C.",-0.193,0.168
"16","L000589","House","Arizona","AZ","Republican",8,"Lesko, Debbie",0.596,-0.024
"17","S001211","House","Arizona","AZ","Democrat",9,"Stanton, Greg",-0.29,0.02
"18","C001087","House","Arkansas","AR","Republican",1,"Crawford, Rick",0.427,0.493
"19","W000809","House","Arkansas","AR","Republican",3,"Womack, Steve",0.354,0.578
"20","H001072","House","Arkansas","AR","Republican",2,"Hill, French",0.447,0.25
"21","W000821","House","Arkansas","AR","Republican",4,"Westerman, Bruce Eugene",0.552,0.311
"22","P000197","House","California","CA","Democrat",12,"Pelosi, Nancy",-0.49,-0.206
"23","S001150","House","California","CA","Democrat",28,"Schiff, Adam",-0.35,-0.13
"24","I000056","House","California","CA","Republican",50,"Issa, Darrell",0.5,-0.064
"25","N000181","House","California","CA","Republican",22,"Nunes, Devin",0.45,0.223
"26","S001156","House","California","CA","Democrat",38,"Sánchez, Linda T.",-0.508,-0.136
"27","C001059","House","California","CA","Democrat",16,"Costa, Jim",-0.192,0.46
"28","M001163","House","California","CA","Democrat",6,"Matsui, Doris",-0.435,-0.159
"29","M001166","House","California","CA","Democrat",9,"Mcnerney, Jerry",-0.263,-0.157
"30","M001165","House","California","CA","Republican",23,"Mccarthy, Kevin",0.455,0.228
"31","S001175","House","California","CA","Democrat",14,"Speier, Karen Lorraine Jacqueline (Jackie)",-0.381,-0.421
"32","M001177","House","California","CA","Republican",4,"Mcclintock, Tom",0.708,-0.459
"33","C001080","House","California","CA","Democrat",27,"Chu, Judy",-0.488,-0.375
"34","G000559","House","California","CA","Democrat",3,"Garamendi, John",-0.309,-0.096
"35","B001270","House","California","CA","Democrat",37,"Bass, Karen",-0.584,-0.106
"36","L000578","House","California","CA","Republican",1,"Lamalfa, Doug",0.532,0.058
"37","H001068","House","California","CA","Democrat",2,"Huffman, Jared",-0.428,-0.551
"38","B001287","House","California","CA","Democrat",7,"Bera, Ami",-0.235,0.016
"39","S001193","House","California","CA","Democrat",15,"Swalwell, Eric",-0.366,-0.101
"40","V000129","House","California","CA","Republican",21,"Valadao, David G.",0.259,0.396
"41","B001285","House","California","CA","Democrat",26,"Brownley, Julia",-0.287,0.054
"42","C001097","House","California","CA","Democrat",29,"Cárdenas, Tony",-0.385,0.018
"43","R000599","House","California","CA","Democrat",36,"Ruiz, Raul",-0.245,0.059
"44","T000472","House","California","CA","Democrat",41,"Takano, Mark",-0.465,-0.265
"45","L000579","House","California","CA","Democrat",47,"Lowenthal, Alan",-0.449,-0.38
"46","V000130","House","California","CA","Democrat",51,"Vargas, Juan",-0.401,0.086
"47","P000608","House","California","CA","Democrat",52,"Peters, Scott",-0.182,-0.031
"48","D000623","House","California","CA","Democrat",11,"Desaulnier, Mark James",-0.532,-0.373
"49","A000371","House","California","CA","Democrat",31,"Aguilar, Peter Rey",-0.295,0.139
"50","L000582","House","California","CA","Democrat",33,"Lieu, Ted",-0.374,-0.247
"51","T000474","House","California","CA","Democrat",35,"Torres, Norma Judith",-0.363,0.044
"52","B001300","House","California","CA","Democrat",44,"Barragán, Nanette Diaz",-0.515,0.023
"53","C001112","House","California","CA","Democrat",24,"Carbajal, Salud",-0.299,0.136
"54","C001110","House","California","CA","Democrat",46,"Correa, Jose Luis",-0.283,0.271
"55","K000389","House","California","CA","Democrat",17,"Khanna, Rohit",-0.555,-0.283
