"","bioguide_id","chamber","state_name","state_abbrev","party","name","nominate_dim1","nominate_dim2"
"1","T000278","Senate","Alabama","AL","Republican","Tuberville, Thomas Hawley (Tommy)",0.936,-0.352
"2","S000320","Senate","Alabama","AL","Republican","Shelby, Richard C.",0.446,0.572
"3","M001153","Senate","Alaska","AK","Republican","Murkowski, Lisa",0.211,-0.304
"4","S001198","Senate","Alaska","AK","Republican","Sullivan, Daniel Scott",0.476,0.071
"5","S001191","Senate","Arizona","AZ","Democrat","Sinema, Kyrsten",-0.104,0.07
"6","K000377","Senate","Arizona","AZ","Democrat","Kelly, Mark Edward",-0.188,0.441
"7","B001236","Senate","Arkansas","AR","Republican","Boozman, John",0.421,0.298
"8","C001095","Senate","Arkansas","AR","Republican","Cotton, Tom",0.615,0.093
"9","H001075","Senate","California","CA","Democrat","Harris, Kamala Devi",-0.709,-0.105
"10","P000145","Senate","California","CA","Democrat","Padilla, Alejandro (Alex)",-0.412,-0.441
"11","F000062","Senate","California","CA","Democrat","Feinstein, Dianne",-0.268,-0.183
"12","B001267","Senate","Colorado","CO","Democrat","Bennet, Michael F.",-0.229,-0.177
"13","H000273","Senate","Colorado","CO","Democrat","Hickenlooper, John Wright",-0.241,0.013
"14","M001169","Senate","Connecticut","CT","Democrat","Murphy, Christopher",-0.27,-0.194
"15","B001277","Senate","Connecticut","CT","Democrat","Blumenthal, Richard",-0.437,-0.166
"16","C000174","Senate","Delaware","DE","Democrat","Carper, Thomas Richard",-0.177,-0.222
"17","C001088","Senate","Delaware","DE","Democrat","Coons, Christopher A.",-0.23,-0.214
"18","R000595","Senate","Florida","FL","Republican","Rubio, Marco",0.599,-0.228
"19","S001217","Senate","Florida","FL","Republican","Scott, Richard Lynn (Rick)",0.666,0.075
"20","L000594","Senate","Georgia","GA","Republican","Loeffler, Kelly",0.555,-0.203
"21","O000174","Senate","Georgia","GA","Democrat","Ossoff, Thomas Jonathan (Jon)",-0.455,0.464
"22","W000790","Senate","Georgia","GA","Democrat","Warnock, Raphael Gamaliel",-0.386,0.44
"23","H001042","Senate","Hawaii","HI","Democrat","Hirono, Mazie",-0.512,-0.084
"24","S001194","Senate","Hawaii","HI","Democrat","Schatz, Brian Emanuel",-0.446,-0.098
"25","C000880","Senate","Idaho","ID","Republican","Crapo, Michael Dean",0.499,0.282
"26","R000584","Senate","Idaho","ID","Republican","Risch, James",0.565,0.448
"27","D000563","Senate","Illinois","IL","Democrat","Durbin, Richard Joseph",-0.348,-0.305
"28","D000622","Senate","Illinois","IL","Democrat","Duckworth, Tammy",-0.335,0.102
"29","Y000064","Senate","Indiana","IN","Republican","Young, Todd",0.461,-0.021
"30","B001310","Senate","Indiana","IN","Republican","Braun, Michael",0.8,0.6
"31","G000386","Senate","Iowa","IA","Republican","Grassley, Charles Ernest",0.351,-0.062
"32","E000295","Senate","Iowa","IA","Republican","Ernst, Joni",0.55,-0.094
"33","M001198","Senate","Kansas","KS","Republican","Marshall, Roger Wayne",0.564,0.189
"34","M000934","Senate","Kansas","KS","Republican","Moran, Jerry",0.418,0.226
"35","M000355","Senate","Kentucky","KY","Republican","Mcconnell, Addison Mitchell (Mitch)",0.404,0.023
"36","P000603","Senate","Kentucky","KY","Republican","Paul, Rand",0.878,-0.479
"37","C001075","Senate","Louisiana","LA","Republican","Cassidy, Bill",0.466,-0.068
"38","K000393","Senate","Louisiana","LA","Republican","Kennedy, John Neely",0.582,0.041
"39","K000383","Senate","Maine","ME","Independent","King, Angus Stanley, Jr.",-0.159,-0.216
"40","C001035","Senate","Maine","ME","Republican","Collins, Susan Margaret",0.115,-0.536
"41","C000141","Senate","Maryland","MD","Democrat","Cardin, Benjamin Louis",-0.319,-0.224
"42","V000128","Senate","Maryland","MD","Democrat","Van Hollen, Christopher",-0.391,-0.208
"43","M000133","Senate","Massachusetts","MA","Democrat","Markey, Edward John",-0.513,-0.458
"44","W000817","Senate","Massachusetts","MA","Democrat","Warren, Elizabeth",-0.759,-0.307
"45","P000595","Senate","Michigan","MI","Democrat","Peters, Gary C.",-0.246,-0.185
"46","S000770","Senate","Michigan","MI","Democrat","Stabenow, Deborah Ann",-0.343,-0.013
"47","K000367","Senate","Minnesota","MN","Democrat","Klobuchar, Amy",-0.285,-0.371
"48","S001203","Senate","Minnesota","MN","Democrat","Smith, Tina",-0.398,-0.059
"49","W000437","Senate","Mississippi","MS","Republican","Wicker, Roger F.",0.378,0.359
"50","H001079","Senate","Mississippi","MS","Republican","Hyde-Smith, Cindy",0.431,0.348
"51","B000575","Senate","Missouri","MO","Republican","Blunt, Roy",0.406,0.219
"52","H001089","Senate","Missouri","MO","Republican","Hawley, Joshua David",0.728,-0.253
"53","D000618","Senate","Montana","MT","Republican","Daines, Steve",0.574,-0.06
"54","T000464","Senate","Montana","MT","Democrat","Tester, Jon",-0.215,0.142
"55","F000463","Senate","Nebraska","NE","Republican","Fischer, Debra (Deb)",0.451,0.27
"56","S001197","Senate","Nebraska","NE","Republican","Sasse, Benjamin Eric",0.701,-0.215
"57","R000608","Senate","Nevada","NV","Democrat","Rosen, Jacklyn Sheryl",-0.285,0.288
"58","C001113","Senate","Nevada","NV","Democrat","Cortez Masto, Catherine Marie",-0.366,0.334
"59","S001181","Senate","New Hampshire","NH","Democrat","Shaheen, Jeanne",-0.237,-0.144
"60","H001076","Senate","New Hampshire","NH","Democrat","Hassan, Margaret (Maggie)",-0.231,-0.004
"61","M000639","Senate","New Jersey","NJ","Democrat","Menendez, Robert",-0.367,-0.123
"62","B001288","Senate","New Jersey","NJ","Democrat","Booker, Cory Anthony",-0.591,-0.265
